probabilidade,faixa_etaria,regiao,mat_basica,mat_superior,estatistica,tecnologia
1,Entre 26 e 44 anos,Sudeste,Um pouco,Um pouco,Um pouco,Nao
1,Entre 26 e 44 anos,Sul,Um pouco,Um pouco,Um pouco,Um pouco
1,Entre 26 e 44 anos,Sudeste,Um pouco,Um pouco,Um pouco,Um pouco
0,Acima de 44 anos,Sudeste,Nao,Um pouco,Nunca tive contato por tempo significativo,Nao
1,Entre 19 e 25 anos,Sudeste,Um pouco,Nunca tive contato por tempo significativo,Nunca tive contato por tempo significativo,Nao
1,Entre 26 e 44 anos,Sudeste,"Sim, muita",Um pouco,Um pouco,Um pouco
1,Entre 19 e 25 anos,Sudeste,Nao,Nunca tive contato por tempo significativo,Nunca tive contato por tempo significativo,Nao
1,Entre 26 e 44 anos,Sudeste,Nao,Nao,Um pouco,Nao
1,Acima de 44 anos,Nordeste,"Sim, muita","Sim, muita",Nao,Nao
0,18 anos ou menos,Sudeste,Nao,Nao,Nao,Nao
0,Entre 26 e 44 anos,Sudeste,Nao,Nao,Nao,Um pouco
1,Entre 26 e 44 anos,Centro oeste,Um pouco,Um pouco,Um pouco,Um pouco
1,Entre 26 e 44 anos,Sudeste,Nao,Nao,Um pouco,Nao
0,Acima de 44 anos,Norte,Nao,Nao,Nao,Nao
1,Entre 19 e 25 anos,Sudeste,Um pouco,Um pouco,Nao,Nao
0,Acima de 44 anos,Nordeste,Nao,Nao,Nao,Nao
1,18 anos ou menos,Sudeste,Nao,Nunca tive contato por tempo significativo,Nao,Um pouco
1,18 anos ou menos,Sudeste,Nao,Nunca tive contato por tempo significativo,Nunca tive contato por tempo significativo,Nao
0,Entre 19 e 25 anos,Sudeste,Nao,Um pouco,Nao,Nao
1,Entre 19 e 25 anos,Sudeste,"Sim, muita","Sim, muita","Sim, muita",Nao
1,Entre 26 e 44 anos,Sudeste,Um pouco,Nunca tive contato por tempo significativo,Nunca tive contato por tempo significativo,Nao
1,Entre 26 e 44 anos,Nordeste,Nao,Nao,Um pouco,Nao
0,Entre 26 e 44 anos,Sudeste,Nao,Nao,Nao,Nao
1,Entre 19 e 25 anos,Sudeste,Um pouco,Um pouco,Um pouco,Nao
1,Entre 26 e 44 anos,Sudeste,Um pouco,"Sim, muita",Um pouco,Nao
0,Entre 19 e 25 anos,Sudeste,Nao,Nao,Nao,Nao
1,Entre 26 e 44 anos,Sudeste,Nao,Um pouco,Um pouco,Um pouco
1,Entre 26 e 44 anos,Centro oeste,"Sim, muita","Sim, muita","Sim, muita",Nao
0,Entre 19 e 25 anos,Centro oeste,Nao,Nao,Um pouco,Nao
0,Entre 26 e 44 anos,Sul,Nao,Nao,Nao,Nao
0,18 anos ou menos,Sudeste,Um pouco,Um pouco,Nao,Nao
0,Entre 26 e 44 anos,Sudeste,Nao,Nao,Nao,Um pouco
1,Acima de 44 anos,Nordeste,Nao,Nao,Um pouco,Nao
1,Entre 26 e 44 anos,Nordeste,Nao,Um pouco,Nao,Nao
1,Entre 26 e 44 anos,Norte,Um pouco,Um pouco,Um pouco,Nao
1,Entre 19 e 25 anos,Sudeste,Nao,Um pouco,Um pouco,Nao
1,Entre 19 e 25 anos,Sudeste,Nao,"Sim, muita",Um pouco,Um pouco
1,Entre 19 e 25 anos,Nordeste,Um pouco,Um pouco,Um pouco,Nao
0,Entre 19 e 25 anos,Centro oeste,Um pouco,Um pouco,Nao,Nao
1,Entre 26 e 44 anos,Nordeste,Um pouco,Nao,"Sim, muita",Um pouco
1,Entre 26 e 44 anos,Sul,Um pouco,Um pouco,Um pouco,Nao
1,Entre 26 e 44 anos,Sudeste,Nao,Um pouco,"Sim, muita",Nao
1,Entre 26 e 44 anos,Sudeste,Um pouco,Um pouco,Um pouco,Um pouco
1,Entre 26 e 44 anos,Nordeste,Um pouco,Um pouco,Um pouco,Um pouco
0,Acima de 44 anos,Nordeste,Nao,Nao,Nao,Nao
1,Entre 19 e 25 anos,Sudeste,Um pouco,Um pouco,Um pouco,Um pouco
0,Entre 19 e 25 anos,Sudeste,Um pouco,Nunca tive contato por tempo significativo,Nao,Nao
1,Entre 26 e 44 anos,Sudeste,Nao,Nao,Nao,Um pouco
1,Entre 19 e 25 anos,Sudeste,"Sim, muita",Um pouco,Um pouco,Nao
0,Entre 19 e 25 anos,Nordeste,Nao,Um pouco,Um pouco,"Sim, muita"
1,Entre 26 e 44 anos,Nordeste,Nao,Um pouco,Um pouco,Nao
0,Entre 26 e 44 anos,Sul,Um pouco,Um pouco,Um pouco,Um pouco
0,Entre 19 e 25 anos,Centro oeste,Nao,Um pouco,Um pouco,Nao
1,Entre 26 e 44 anos,Nordeste,"Sim, muita",Nao,Nao,Nao
0,Entre 26 e 44 anos,Sul,Nao,Um pouco,Nao,Nao
0,Entre 26 e 44 anos,Nordeste,Nao,Nao,Nao,Nao
0,Entre 26 e 44 anos,Nordeste,Nao,Nao,Nao,Nao
1,Entre 26 e 44 anos,Sul,Nao,Nao,Nunca tive contato por tempo significativo,Nao
1,Entre 19 e 25 anos,Sudeste,"Sim, muita","Sim, muita","Sim, muita",Nao
1,Entre 26 e 44 anos,Sudeste,Nao,Um pouco,Nunca tive contato por tempo significativo,Nao
1,Entre 26 e 44 anos,Nordeste,"Sim, muita",Nunca tive contato por tempo significativo,Um pouco,Nao
1,Entre 19 e 25 anos,Nordeste,Um pouco,Um pouco,Nao,Nao
0,Entre 19 e 25 anos,Nordeste,Nao,Nao,Nao,Um pouco
0,Entre 26 e 44 anos,Nordeste,Nao,Nunca tive contato por tempo significativo,Nunca tive contato por tempo significativo,Nao
1,Entre 19 e 25 anos,Sudeste,Nao,Um pouco,Um pouco,"Sim, muita"
0,Entre 26 e 44 anos,Sudeste,Nao,Nao,Nao,Nao
0,Entre 26 e 44 anos,Sul,Nao,Nunca tive contato por tempo significativo,Nao,Nao
1,Entre 19 e 25 anos,Sul,Um pouco,Nao,Nunca tive contato por tempo significativo,Nao
1,Entre 26 e 44 anos,Nordeste,Um pouco,Nunca tive contato por tempo significativo,Nunca tive contato por tempo significativo,Nao
1,Acima de 44 anos,Centro oeste,Um pouco,Um pouco,Um pouco,Um pouco
1,Entre 19 e 25 anos,Sul,Um pouco,Um pouco,Um pouco,Nao
1,Entre 19 e 25 anos,Sudeste,Um pouco,Um pouco,Nunca tive contato por tempo significativo,Nao
1,Entre 26 e 44 anos,Sudeste,Nao,Um pouco,Um pouco,Nao
1,Entre 26 e 44 anos,Sudeste,Nao,Um pouco,Um pouco,Nao
1,Entre 26 e 44 anos,Sudeste,Nao,Um pouco,Um pouco,Nao
0,Entre 26 e 44 anos,Centro oeste,Um pouco,Nao,Nao,Nao
0,18 anos ou menos,Sul,Nao,Nao,Nao,Nao
1,Entre 19 e 25 anos,Sul,Um pouco,Nunca tive contato por tempo significativo,Nunca tive contato por tempo significativo,Nao
0,Entre 19 e 25 anos,Nordeste,Um pouco,Um pouco,Nao,Nao
1,Entre 19 e 25 anos,Sudeste,Um pouco,Um pouco,Um pouco,Nao
0,Entre 26 e 44 anos,Sudeste,Nao,Nao,Nao,Nao
0,Entre 26 e 44 anos,Sudeste,Nao,Nao,Nao,Nao
0,Entre 26 e 44 anos,Sudeste,Nao,Nao,Nao,Nao
1,Entre 19 e 25 anos,Sudeste,Nao,Nao,Um pouco,Um pouco
1,Entre 19 e 25 anos,Centro oeste,Um pouco,Um pouco,Nunca tive contato por tempo significativo,Nao
1,Entre 19 e 25 anos,Sudeste,Um pouco,Um pouco,Um pouco,Nao
1,Entre 26 e 44 anos,Sudeste,Nao,Um pouco,Um pouco,Um pouco
1,Acima de 44 anos,Fora do Brasil,Um pouco,Nunca tive contato por tempo significativo,Um pouco,Um pouco
1,Entre 26 e 44 anos,Nordeste,Um pouco,Um pouco,"Sim, muita",Um pouco
1,Entre 19 e 25 anos,Sudeste,Um pouco,Um pouco,"Sim, muita",Nao
1,Entre 19 e 25 anos,Sudeste,Nao,Um pouco,Nunca tive contato por tempo significativo,Um pouco
0,18 anos ou menos,Sudeste,Nao,Nunca tive contato por tempo significativo,Nao,Nao
1,Entre 26 e 44 anos,Sudeste,Nao,Um pouco,Um pouco,Um pouco
1,Entre 26 e 44 anos,Sudeste,Nao,Um pouco,Um pouco,Nao
1,Entre 26 e 44 anos,Sul,Um pouco,Um pouco,Um pouco,Nao
1,Entre 19 e 25 anos,Sudeste,"Sim, muita","Sim, muita",Um pouco,Nao
1,Entre 19 e 25 anos,Sudeste,Um pouco,"Sim, muita",Um pouco,Nao
1,Acima de 44 anos,Nordeste,Nao,Um pouco,Um pouco,Nao
1,Entre 26 e 44 anos,Nordeste,Nao,Um pouco,Um pouco,Um pouco
1,Entre 19 e 25 anos,Sul,Um pouco,Nunca tive contato por tempo significativo,Um pouco,Nao
0,Acima de 44 anos,Sudeste,Nao,Nao,Nao,Nao
1,18 anos ou menos,Sudeste,Nao,Nao,Nao,Nao
0,Entre 19 e 25 anos,Sul,Nao,Nunca tive contato por tempo significativo,Um pouco,Um pouco
1,Entre 26 e 44 anos,Fora do Brasil,Um pouco,Nunca tive contato por tempo significativo,Nao,Nao
0,Acima de 44 anos,Sudeste,Nao,Nao,Nao,Um pouco
0,Entre 26 e 44 anos,Sudeste,Nao,Nunca tive contato por tempo significativo,Nao,Nao
1,Entre 26 e 44 anos,Sudeste,Um pouco,Um pouco,Nunca tive contato por tempo significativo,Nao
1,Entre 26 e 44 anos,Sudeste,Um pouco,Um pouco,Nunca tive contato por tempo significativo,Nao
1,Entre 26 e 44 anos,Sudeste,"Sim, muita","Sim, muita",Nunca tive contato por tempo significativo,Nao
0,Acima de 44 anos,Norte,Nao,Nao,Nao,Um pouco
